id,date,username,content,lang,url,content_clean,predicted_sentiment,confidence
1.97879E+18,Thu Oct 16 11:56:02 +0000 2025,Deka0605,"Happy birthday to my very Uniq Boys, I love u so much, and I miss you so much more than I can express. Stay always happy and healthy. I hope to see u together one more time in this lifetime.
My 5 favorite boys, my Uniq boys 🦄💜💜💜💜💜
#UNIQ https://t.co/GuWuWy8OJa",en,https://twitter.com/Deka0605/status/1978792044765356079,happy birthday to my very uniq boys i love u so much and i miss you so much more than i can express stay always happy and healthy i hope to see u together one more time in this lifetime my favorite boys my uniq boys emo_pos emo_pos emo_pos emo_pos emo_pos uniq,Positive,0.85
1.97879E+18,Thu Oct 16 11:56:02 +0000 2025,charis_ai,@aimusicvideo @DJTigerPaws_AI @DomainDomme @1900CotN Happy Birthday!! 🎂🎉 https://t.co/sSTXoPb7TU,en,https://twitter.com/charis_ai/status/1978792043565736030,happy birthday emo_pos,Positive,0.85
1.97879E+18,Thu Oct 16 11:56:01 +0000 2025,murdapup,It's my birthday af,en,https://twitter.com/murdapup/status/1978792041481208026,it s my birthday af,Neutral,0.6
1.97879E+18,Thu Oct 16 11:56:01 +0000 2025,bignosekate77,@Dougie_D__ Dougie!!! Happy Birthday to you!!🎉🌻😊 Have a wonderful day my friend!,en,https://twitter.com/bignosekate77/status/1978792040499400915,dougie happy birthday to you emo_pos emo_pos have a wonderful day my friend,Positive,0.85
1.97879E+18,Thu Oct 16 11:56:01 +0000 2025,raeluvshen,"@itslyravier Happy Birthday Xavier! Wish you always be happy and feel loved💕✨

ARTNYAK CANTIK BGTT!!🥹🥹 https://t.co/gOaUB6QQYL",en,https://twitter.com/raeluvshen/status/1978792040382280098,happy birthday xavier wish you always be happy and feel loved emo_pos artnyak cantik bgtt,Positive,0.85
1.97879E+18,Thu Oct 16 11:56:00 +0000 2025,sorsress,@zaynesmoon wait u share birthday with ur man what 😦😭,en,https://twitter.com/sorsress/status/1978792038637453367,wait u share birthday with ur man what emo_neg,Neutral,0.6
1.97879E+18,Thu Oct 16 11:56:00 +0000 2025,KDawnSeven,"Happy Heavenly #birthday to the #G.O.A.T. 🐐 of fashion, Andre Leon Talley.  We continue to salute...for the indomitable spirit and immeasurable lessons are still teaching 🙏🏾
Check out the newly opened exhibit at the @SCAD Museum of Fashion 
'André Leon Talley: Style Is Forever' https://t.co/oNrozxkk9q",en,https://twitter.com/KDawnSeven/status/1978792037781573779,happy heavenly birthday to the g o a t of fashion andre leon talley we continue to salute for the indomitable spirit and immeasurable lessons are still teaching check out the newly opened exhibit at the museum of fashion andr leon talley style is forever,Positive,0.85
1.97879E+18,Thu Oct 16 11:56:00 +0000 2025,XCrazybrow,@MilaLovesJoe Happy birthday 🥳 🎂,en,https://twitter.com/XCrazybrow/status/1978792036988850448,happy birthday emo_pos,Positive,0.85
1.97879E+18,Thu Oct 16 11:56:00 +0000 2025,HypomanicPaint,"Perhaps there will be a lot of Early Access posts on Patreons in November. 

Because for my birthday last year I took a month of painting break. 

This year, why not shower you with Polin throughout November 😘",en,https://twitter.com/HypomanicPaint/status/1978792035957256648,perhaps there will be a lot of early access posts on patreons in november because for my birthday last year i took a month of painting break this year why not shower you with polin throughout november emo_pos,Neutral,0.6
1.97879E+18,Thu Oct 16 11:56:00 +0000 2025,AlisonAndalucia,@InspireMyWkend Happy birthday! 🥳🥳🥳,en,https://twitter.com/AlisonAndalucia/status/1978792035772465243,happy birthday emo_pos emo_pos emo_pos,Positive,0.85
1.97879E+18,Thu Oct 16 11:59:05 +0000 2025,kimoontori,@TXTChartData I vote for #TOMORROWXTOGETHER on #2025MAMAVOTE,en,https://twitter.com/kimoontori/status/1978792812943757666,i vote for tomorrowxtogether on mamavote,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:05 +0000 2025,stroberijjong,@goingrangers_17 #2025MAMAVOTE #SEVENTEEN,qme,https://twitter.com/stroberijjong/status/1978792811790303291,mamavote seventeen,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:05 +0000 2025,manggu_apple_,"#2025MAMAVOTE 
#PLAVE

그 시즌이라니 https://t.co/59UAMJtWlS",ko,https://twitter.com/manggu_apple_/status/1978792811760922713,mamavote plave,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:05 +0000 2025,mitchAHOFJL,"I VOTE  FOR #AHOF #2025MAMAVOTE
https://t.co/VPxfKq49z1",en,https://twitter.com/mitchAHOFJL/status/1978792811698000377,i vote for ahof mamavote,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:05 +0000 2025,nyemub,@lsrfm_impact I vote for #lesserafim at #2025MAMAVOTE,en,https://twitter.com/nyemub/status/1978792811660202435,i vote for lesserafim at mamavote,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:04 +0000 2025,hamzalone121165,"Gaay ke farm mein floor aur mats saaf karna mehnat bhara kaam hai, par ye hygiene aur health ke liye bahut zaroori hota hai. #farming #cleaning #gaayfarm #2025MAMAVOTE #GSTUtsavInAP https://t.co/k1q44Qk71s",hi,https://twitter.com/hamzalone121165/status/1978792810946961663,gaay ke farm mein floor aur mats saaf karna mehnat bhara kaam hai par ye hygiene aur health ke liye bahut zaroori hota hai farming cleaning gaayfarm mamavote gstutsavinap,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:04 +0000 2025,Nickyigstz,@portalblackpink I vote for #BLACKPINK on #2025MAMAVOTE,en,https://twitter.com/Nickyigstz/status/1978792810741403780,i vote for blackpink on mamavote,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:04 +0000 2025,hmsvthaogyu,@diorjww #2025MAMAVOTE #SEVENTEEN,qme,https://twitter.com/hmsvthaogyu/status/1978792809886076933,mamavote seventeen,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:04 +0000 2025,sohijapko,@yufan1sm I vote for #CORTIS on #2025MAMAVOTE,en,https://twitter.com/sohijapko/status/1978792809147539761,i vote for cortis on mamavote,Neutral,0.6
1.97879E+18,Thu Oct 16 11:59:04 +0000 2025,shiiniki1358mm,"プレゼントしたい！
えんじーん🎶🎤って声が聞きたい
#ENHYPEN #2025MAMAVOTE https://t.co/PNYXhgF3Vq",ja,https://twitter.com/shiiniki1358mm/status/1978792808820695232,emo_pos enhypen mamavote,Neutral,0.6
1.98E+18,Thu Oct 16 12:37:12 +0000 2025,VishalKumarIYC,"गोपाल खेमका हत्याकांड ,
भूलेगा नहीं बिहार ।

#2025MAMAVOTE
#AskSiddhu
#GSTUtsavInAP
#JagadguruSatishacharyaJi
#AdvisorWayToRise https://t.co/TICgEN0CGp",hi,https://twitter.com/VishalKumarIYC/status/1978802407376400588,mamavote asksiddhu gstutsavinap jagadgurusatishacharyaji advisorwaytorise,Neutral,0.6
1.98E+18,Thu Oct 16 12:36:46 +0000 2025,ororisanchari1,@Siddubuoyoffl What should an aspiring film maker with a story do to contact you? #AskSiddhu @Siddubuoyoffl,en,https://twitter.com/ororisanchari1/status/1978802295874953705,what should an aspiring film maker with a story do to contact you asksiddhu,Neutral,0.6
1.98E+18,Thu Oct 16 12:36:28 +0000 2025,Maari5143,"@Siddubuoyoffl Hi Bro, 
Wishing you All the best and Advance congratulations for BlockBuster Hit

I want to know , Can you give me a chance in your next film please ?
#AskSiddhu #TelusuKada",en,https://twitter.com/Maari5143/status/1978802222302716330,hi bro wishing you all the best and advance congratulations for blockbuster hit i want to know can you give me a chance in your next film please asksiddhu telusukada,Neutral,0.6
1.98E+18,Thu Oct 16 12:36:19 +0000 2025,venkatpazzo,"@Siddubuoyoffl @vuecinemas @PrathyangiraUS Seriously, Jack was released with five times the scale of this. From this, you can understand what’s happening with #TelusuKada in the UK. The distributor is from the US and has no idea! Don’t lose the huge potential here. #AskSiddhu",en,https://twitter.com/venkatpazzo/status/1978802182242631900,seriously jack was released with five times the scale of this from this you can understand what s happening with telusukada in the uk the distributor is from the us and has no idea don t lose the huge potential here asksiddhu,Neutral,0.6
1.98E+18,Thu Oct 16 12:36:17 +0000 2025,SaNa9923,@Siddubuoyoffl Recent ga chusina TV Shows enti anna #AskSiddhu,en,https://twitter.com/SaNa9923/status/1978802174894260543,recent ga chusina tv shows enti anna asksiddhu,Neutral,0.6
1.98E+18,Thu Oct 16 12:35:42 +0000 2025,laundpana_,"@Siddubuoyoffl #AskSiddhu #TelusuKada

https://t.co/Xrfi0hT9RX",qme,https://twitter.com/laundpana_/status/1978802028588810705,asksiddhu telusukada,Neutral,0.6
1.98E+18,Thu Oct 16 12:35:25 +0000 2025,AshokZinner,#TelusuKada Is Tomorrow Cinemas near you theatres Go Watch Your Family &amp; Friends Siddhu is Good Performance Acting #AskSiddhu,en,https://twitter.com/AshokZinner/status/1978801957453131937,telusukada is tomorrow cinemas near you theatres go watch your family amp friends siddhu is good performance acting asksiddhu,Positive,0.85
1.98E+18,Thu Oct 16 12:35:18 +0000 2025,impvkrishna,"@Siddubuoyoffl Want to see you in a thriller film far from the current happy-go-lucky-guy roles. Do you mind opening the DM for a script to slide in? 😉

#AskSiddhu #TelusuKada",en,https://twitter.com/impvkrishna/status/1978801928470761560,want to see you in a thriller film far from the current happy go lucky guy roles do you mind opening the dm for a script to slide in emo_pos asksiddhu telusukada,Positive,0.85
1.98E+18,Thu Oct 16 12:35:07 +0000 2025,ThotaSaima56029,@Siddubuoyoffl #Asksiddhu vishwaksen tho multi starrer kosam waiting,hi,https://twitter.com/ThotaSaima56029/status/1978801880496300431,asksiddhu vishwaksen tho multi starrer kosam waiting,Neutral,0.6
1.98E+18,Thu Oct 16 12:35:03 +0000 2025,Iam_MKharaud,"📣CARATs

RT, DROP TAGS, AND LET'S VOTE FOR SEVENTEEN IF YOU SEE THIS! 

1 repost = 1 vote
1 reply = 1 vote

#2025MAMAVOTE 
#SEVENTEEN #AskSiddhu https://t.co/cn6hu3Q5md",en,https://twitter.com/Iam_MKharaud/status/1978801864528290194,carats rt drop tags and let s vote for seventeen if you see this repost vote reply vote mamavote seventeen asksiddhu,Neutral,0.6
